Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec,CONF,P_five,Pos,RAS,AllTime
2020,5,20,166,Quintez Cephus,LIONS,WR,Wisconsin,NA,NA,NA,B10,1,WR,4.51,4.55
2020,5,22,168,John Hightower,EAGLES,WR,Boise State,943,8,51,NP5,0,WR,8.02,8.08
2020,5,25,171,Isaiah Coulter,TEXANS,WR,Rhode Island,1039,8,72,A10,0,WR,6.68,6.68
2020,5,27,173,Darnell Mooney,BEARS,WR,Tulane,993,8,48,Amer,0,WR,7.03,7.01
2020,5,30,176,K.J. Osborn,VIKINGS,WR,Miami (FL),NA,NA,NA,NA,0,NA,NA,NA
2021,1,5,5,Ja\'Marr Chase,BENGALS,WR,Louisiana State,1780,20,84,SEC,0,NA,NA,NA
2021,1,6,6,Jaylen Waddle,DOLPHINS,WR,Alabama,848,7,45,SEC,1,WR,NA,NA
2021,1,10,10,DeVonta Smith,EAGLES,WR,Alabama,1856,23,117,SEC,1,NA,NA,NA
2021,1,20,20,Kadarius Toney,GIANTS,WR,Florida,984,10,70,SEC,1,WR,9,9.05
2021,1,27,27,Rashod Bateman,RAVENS,WR,Minnesota,1219,22,60,B10,1,WR,8.04,8.16
2021,2,2,34,Elijah Moore,JETS,WR,Mississippi,1193,8,86,SEC,1,WR,8.69,8.68
